¡Toma! | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
Dedicated Bakery | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 1.2 mi
Del Cielo Tamal | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.3 mi
Del Lago Golf Club | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 15 mi
Del Taco | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.2 mi
Deliciocho | Neighborhood: Southside & Heritage | Cuisine: Dessert & Bakery | Dist: 6 mi
Denny's | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 3.5 mi
Desert Drifter | Neighborhood: Northwest & Marana | Cuisine: Coffee & Cafe | Dist: 11.8 mi
Desert Drifter Coffee | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 3.8 mi
Desert Farmer | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 7.8 mi
DiBella's Brunch | Neighborhood: Northside & Foothills | Cuisine: Breakfast & Diner | Dist: 9.5 mi
Dickey's BBQ | Neighborhood: Northwest & Marana | Cuisine: Steakhouse & BBQ | Dist: 10.1 mi
Ding Tea | Neighborhood: Northwest & Marana | Cuisine: Boba Tea & Beverages | Dist: 9.2 mi
Dirtbags | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 1.2 mi
Dirty Dough | Neighborhood: Northwest & Marana | Cuisine: Dessert & Bakery | Dist: 7.5 mi
Divine Bovine Burgers | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 3.8 mi
DJ's Island Grill | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2.1 mi
Dog House Saloon | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 12 mi
Dolce Pastello | Neighborhood: Urban Core | Cuisine: Dessert & Bakery | Dist: 5.5 mi
Dominic's Real Italian | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 11.1 mi
Dominick's Italian | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 7.5 mi
Domino's | Neighborhood: Central & University | Cuisine: Italian & Pizza | Dist: 2 mi
Dove Mountain Brewing | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 8.5 mi
DQ/Orange Julius | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 3.6 mi
Dragon Village | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 13.5 mi
Dragoon Brewing Company | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4 mi
Dream Dinners | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 7.2 mi
Duke's Delicious Pizza | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 14.2 mi
Dunkin Donuts/Baskin Robbins | Neighborhood: Central & University | Cuisine: Dessert & Bakery | Dist: 2 mi
Dutch Bros. Coffee | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 0.7 mi
East Coast Super Subs | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.1 mi
Eat-a-Pita | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 2 mi
Eclectic Café | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 5.5 mi
Eeegee | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2.5 mi
Eegee's | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.7 mi
Egg Connection | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 3 mi
eHotPot | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.6 mi
Einstein Bros. Bagels | Neighborhood: Central & University | Cuisine: Breakfast & Diner | Dist: 1.6 mi
El Bebos | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 22.8 mi
El Beto | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.4 mi
El Brunch Bistro | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 5.2 mi
El Charro Café | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
El Chivo de Oro | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.8 mi
El Corral | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 4.2 mi
El Guero Canelo | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.4 mi
El Jefe Cat Lounge | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.3 mi
El Merendero | Neighborhood: Southside & Heritage | Cuisine: Seafood | Dist: 7.8 mi
El Mezquite Grill | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5.3 mi
El Minuto Cafe | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 5.5 mi
El Molinito | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.3 mi
El Pollo Loco | Neighborhood: Westside & Downtown | Cuisine: Mexican & Sonoran | Dist: 6.1 mi
El Potosino | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 5.8 mi
El Sinaloense | Neighborhood: Southside & Heritage | Cuisine: Fast Food & Sandwiches | Dist: 7 mi
El Sur | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.5 mi
El Taco Rustico | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 5.5 mi
El Taco Tote | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 5 mi
El Tacoson | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6 mi
El Taquito King | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3 mi
El Tarachi | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.8 mi
El Torero | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 3.3 mi
El Zumitos | Neighborhood: Urban Core | Cuisine: Healthy, Vegan & Plant-Based | Dist: 5.5 mi
Eleven Cafe | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 2.9 mi
Eleven Café | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.3 mi
Elliott's | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 2.8 mi
Empire Pizza | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 2.8 mi
Empire Pizza & Pub | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 5.6 mi
Epazote Kitchen | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 9.5 mi
Espresso Art | Neighborhood: Central & University | Cuisine: Coffee & Cafe | Dist: 2 mi
Espressoul Café | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 4 mi
Exo Roast Co. | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 2.7 mi
Falora | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2 mi
Famous Sam's | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 7 mi
Famous Sam's Sports Grill | Neighborhood: Southside & Heritage | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Famous Wok | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 14.2 mi
Fatman Kitchen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Feast | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 0.8 mi
Fentonelli's | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 7.5 mi
Festa International Buffet | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 9 mi
Fiamme Pizza | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 5.2 mi
Figs Oven + Enoteca | Neighborhood: Eastside & Vail | Cuisine: Mediterranean & Global | Dist: 7.3 mi
Filberto's | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 4.9 mi
Filiberto's | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.2 mi
Fini's Landing | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 5.5 mi
Firebirds | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 6.3 mi
Fired Pie | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 2.6 mi
Firehouse Subs | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 8.1 mi
First Watch (Grant) | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.1 mi
Fish Wok | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.6 mi
Fito's Taco Shop | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 17.9 mi
Five Guys | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 2 mi
Flaps and Racks | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 6.9 mi
Flavor of India | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 10.2 mi
Fleming's Prime | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 5.5 mi
Flora's Market Run | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 0.8 mi
Flower Child | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 2.8 mi
Flying Leap | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Flying V | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 6.2 mi
Food Street Kitchen | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 5.5 mi
Fora | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4 mi
Forbes Meat Company | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 5.3 mi
Fork & Fire | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 10.5 mi
Fortune Cookie | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 15.7 mi
Frank's Restaurant | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 0.6 mi
Frankie's Cheese | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 7.5 mi
Frankie's CheeseSteaks | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.8 mi
Freddie's Steakburger | Neighborhood: Northwest & Marana | Cuisine: Fast Food & Sandwiches | Dist: 9.3 mi
Freddy's | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 5 mi
Fresco | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 0.3 mi
Fresh Pho and Sushi | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 5 mi
Frog & Firkin | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4 mi
Frog and Firkin | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 2 mi
Frost Gelato | Neighborhood: Northside & Foothills | Cuisine: Dessert & Bakery | Dist: 5.8 mi
Frozen Delight | Neighborhood: Eastside & Vail | Cuisine: Dessert & Bakery | Dist: 3.8 mi
Frozen Yogurt by PAB | Neighborhood: Southside & Heritage | Cuisine: Dessert & Bakery | Dist: 19.2 mi
Fruit Shack Smoothies | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.9 mi
Fruit Shack Smoothies & Yogurt | Neighborhood: Northside & Foothills | Cuisine: Boba Tea & Beverages | Dist: 11.7 mi
Fuku Sushi | Neighborhood: Central & University | Cuisine: Asian & Sushi | Dist: 2 mi
Garden Bistro | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 8 mi
Gear Shifters | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 1.4 mi
Gee's Garden | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.1 mi
Gelato Shop | Neighborhood: Southside & Heritage | Cuisine: Dessert & Bakery | Dist: 26.4 mi
Gemstone Cafe | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.9 mi
Gen Korean BBQ | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 3.4 mi
Gentle Ben's Brewing | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4 mi
Gentle Ben's Brewing Company | Neighborhood: Central & University | Cuisine: Bar, Pub & Brewery | Dist: 2 mi
German Food Station | Neighborhood: Northwest & Marana | Cuisine: Mediterranean & Global | Dist: 7.5 mi
Geronimo Restaurant | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 4 mi
Geronimo's | Neighborhood: Central & University | Cuisine: American & Comfort | Dist: 2.1 mi
Ghini's French Caffe | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 3 mi
Giacomo's | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 6 mi
Gibson Food Hall & Market | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5 mi
Ginza | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 6 mi
Girls Kitchen Mexican Food | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 2.7 mi
GMG Chinese | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 10.2 mi
GMG Chinese Bistro | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 11.8 mi
Go Dim Sum | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.2 mi
Golden Coral | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 9.8 mi
Golden Corral | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2.4 mi
Golden Dragon Restaurant | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 6.9 mi
Gourmet Girls | Neighborhood: Northside & Foothills | Cuisine: Healthy, Vegan & Plant-Based | Dist: 9 mi
Govinda's Indian Eatery | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 2.8 mi
Govinda's Natural Foods Buffet | Neighborhood: Central & Midtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 2.2 mi
Goyita's | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 11.9 mi
Goyita's Mexican | Neighborhood: Northside & Foothills | Cuisine: Mexican & Sonoran | Dist: 9.8 mi
Grain River Asian Bistro | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 14.4 mi
Grandma Tony's Pizza | Neighborhood: Eastside & Vail | Cuisine: Italian & Pizza | Dist: 4.8 mi
Graze Premium Burgers | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 0.5 mi
Great Wall China | Neighborhood: Southside & Heritage | Cuisine: Asian & Sushi | Dist: 4 mi
Greek House | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 1.3 mi
Grimaldi's Pizzeria | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 2.8 mi
Growler's Taphouse | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 14 mi
Grumpy's Grill | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 9.6 mi
Guadalajara Grill | Neighborhood: Central & Midtown | Cuisine: Mexican & Sonoran | Dist: 1.5 mi
Guilin | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.8 mi
Guisos | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 6.7 mi
Gus Balon's | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 6 mi
Gyro Shack | Neighborhood: Southside & Heritage | Cuisine: Mediterranean & Global | Dist: 5.5 mi
Halong Bay | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 4 mi
Hamburger Stand | Neighborhood: Southside & Heritage | Cuisine: Fast Food & Sandwiches | Dist: 5.1 mi
Handel's | Neighborhood: Northside & Foothills | Cuisine: Dessert & Bakery | Dist: 8 mi
Happy Joe's Pizza | Neighborhood: Northside & Foothills | Cuisine: Italian & Pizza | Dist: 12.8 mi
Happy Lemon | Neighborhood: Central & Midtown | Cuisine: Boba Tea & Beverages | Dist: 1.2 mi
Happy Wok | Neighborhood: Eastside & Vail | Cuisine: Asian & Sushi | Dist: 13.5 mi
Harvest | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 11.8 mi
Hatch | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 2.8 mi
HeeMee Coffee + Bakery | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.3 mi
HeeMee Coffee + Bakery on Congress | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 2.9 mi
HeeMee Coffee + Bakery on University | Neighborhood: Central & University | Cuisine: Coffee & Cafe | Dist: 2.1 mi
Hello Cafe | Neighborhood: Central & Midtown | Cuisine: Coffee & Cafe | Dist: 2.4 mi
Hi-Fi | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 2.6 mi
Hi-Way Chef | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 7.9 mi
Hidden Grill | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 8.8 mi
Hidden Hearth | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.5 mi
HiFalutin | Neighborhood: Northside & Foothills | Cuisine: American & Comfort | Dist: 7.2 mi
Highland Market | Neighborhood: Central & University | Cuisine: American & Comfort | Dist: 1.7 mi
HighWire | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.6 mi
Hogie House 22nd Street | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 3.8 mi
Holy Smokin Butts | Neighborhood: Eastside & Vail | Cuisine: Steakhouse & BBQ | Dist: 5.5 mi
Home Plate Marana | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 14.5 mi
Honey Baked Ham | Neighborhood: Northside & Foothills | Cuisine: Fast Food & Sandwiches | Dist: 7.6 mi
Hooters | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 5.1 mi
Horseshoe | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 18.3 mi
Hotel Congress (Cup Cafe) | Neighborhood: Westside & Downtown | Cuisine: American & Comfort | Dist: 5.5 mi
Hotrods Old Vail | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 13.9 mi
Houlden's Rise Above | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 3 mi
Hungry Fox Restaurant & Country Store | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2 mi
Hungry Howie's | Neighborhood: Northwest & Marana | Cuisine: Italian & Pizza | Dist: 15.3 mi
Hungry Howie's Pizza | Neighborhood: Central & Midtown | Cuisine: Italian & Pizza | Dist: 1.5 mi
IBT'S | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 2.5 mi
IBT's Bar & Food | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 4.7 mi
Ignite | Neighborhood: Northwest & Marana | Cuisine: Bar, Pub & Brewery | Dist: 8.5 mi
Iguana Cafe & Bar | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5.6 mi
IHOP (Grant) | Neighborhood: Central & Midtown | Cuisine: Breakfast & Diner | Dist: 1.1 mi
Ike's Coffee & Tea | Neighborhood: Urban Core | Cuisine: Coffee & Cafe | Dist: 5.3 mi
Ike's Love and Sandwiches | Neighborhood: Central & University | Cuisine: Fast Food & Sandwiches | Dist: 1.8 mi
Ikkyu | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 3.8 mi
Illegal Pete's | Neighborhood: Central & University | Cuisine: Mexican & Sonoran | Dist: 2 mi
In-N-Out Burger | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1 mi
Inca's Peruvian | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 5.3 mi
India Oven | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 3 mi
Indian Twist | Neighborhood: Central & Midtown | Cuisine: Mediterranean & Global | Dist: 2.8 mi
IOU Sushi III | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.8 mi
IQ | Neighborhood: Central & University | Cuisine: Healthy, Vegan & Plant-Based | Dist: 1.6 mi
Iron Door Restaurant | Neighborhood: Eastside & Vail | Cuisine: American & Comfort | Dist: 17 mi
Ironwood Terraces | Neighborhood: Westside & Downtown | Cuisine: American & Comfort | Dist: 14.2 mi
It's Greek to Me | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 18 mi
JA Ramen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.9 mi
Jack in the Box | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.1 mi
Jackrabbit Lounge | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 3.5 mi
Jade Garden | Neighborhood: Northwest & Marana | Cuisine: Asian & Sushi | Dist: 8 mi
Jaime's Pizza Kitchen | Neighborhood: Urban Core | Cuisine: Italian & Pizza | Dist: 5.3 mi
Jamba | Neighborhood: Central & Midtown | Cuisine: Boba Tea & Beverages | Dist: 2.1 mi
Janet & Ray's | Neighborhood: Eastside & Vail | Cuisine: Mediterranean & Global | Dist: 7 mi
Jason's Deli | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 1.7 mi
Javelina | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 2.5 mi
Jeremiah's Ice | Neighborhood: Eastside & Vail | Cuisine: Dessert & Bakery | Dist: 13 mi
Jerry Bob's | Neighborhood: Northside & Foothills | Cuisine: Breakfast & Diner | Dist: 3 mi
Jerry Bob's Restaurant | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 5.6 mi
Jerry Bobs Family Restaurant | Neighborhood: Northwest & Marana | Cuisine: American & Comfort | Dist: 7.2 mi
Jersey Mike's Subs | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 0.2 mi
Jethro's Cafe & Tavern | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 7 mi
Jewel's Noodle Kitchen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Jimmy John's | Neighborhood: Central & University | Cuisine: Fast Food & Sandwiches | Dist: 1.9 mi
Jimmy's Pita & Poke | Neighborhood: Urban Core | Cuisine: Mediterranean & Global | Dist: 4 mi
Joe's Pancake House | Neighborhood: Eastside & Vail | Cuisine: Breakfast & Diner | Dist: 5.6 mi
John Henry's | Neighborhood: Urban Core | Cuisine: Bar, Pub & Brewery | Dist: 5 mi
Jojo's Café & Bakery | Neighborhood: Urban Core | Cuisine: American & Comfort | Dist: 5.4 mi
Juanitos | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7 mi
Juice n' Fruit | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 7.2 mi
Jun Dynasty | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Just Breakfast | Neighborhood: Northwest & Marana | Cuisine: Breakfast & Diner | Dist: 14.5 mi
Just Kabab | Neighborhood: Northwest & Marana | Cuisine: Mediterranean & Global | Dist: 11.9 mi
K Japanese Restaurant | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.1 mi
Kababeque | Neighborhood: Central & University | Cuisine: Mediterranean & Global | Dist: 2 mi
Kababeque Indian | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 4 mi
Kachina Lounge | Neighborhood: Northside & Foothills | Cuisine: Bar, Pub & Brewery | Dist: 16 mi
Kahu Hawaiian BBQ | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 3.9 mi
Kaiju Burger | Neighborhood: Urban Core | Cuisine: Fast Food & Sandwiches | Dist: 5.4 mi
Kampai Sushi | Neighborhood: Northside & Foothills | Cuisine: Asian & Sushi | Dist: 6.8 mi
Karamelo King | Neighborhood: Central & Midtown | Cuisine: Dessert & Bakery | Dist: 2.6 mi
Karichimaka | Neighborhood: Southside & Heritage | Cuisine: Mexican & Sonoran | Dist: 6.5 mi
Karuna | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.6 mi
Katsu House | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 5 mi
Kazoku Sushi | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 1.2 mi
Kebab King | Neighborhood: Northside & Foothills | Cuisine: Mediterranean & Global | Dist: 10.5 mi
Kettle Restaurant | Neighborhood: Central & Midtown | Cuisine: American & Comfort | Dist: 3.8 mi
KFC (Broadway) | Neighborhood: Eastside & Vail | Cuisine: Fast Food & Sandwiches | Dist: 4 mi
Kimchi Time | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.5 mi
Kingfisher Bar & Grill | Neighborhood: Central & Midtown | Cuisine: Seafood | Dist: 2.6 mi
Kintoki Sushi House | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 5.4 mi
Kintoki Sushi House & Bar | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.8 mi
Kitchen 86 | Neighborhood: Southside & Heritage | Cuisine: American & Comfort | Dist: 6 mi
Kiwami Ramen | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.7 mi
Kneller's Delicatessen | Neighborhood: Central & Midtown | Cuisine: Fast Food & Sandwiches | Dist: 3.5 mi
Kogi Korean BBQ | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.4 mi
Kolb Road Lounge | Neighborhood: Eastside & Vail | Cuisine: Bar, Pub & Brewery | Dist: 5.2 mi
Kon Tiki | Neighborhood: Central & Midtown | Cuisine: Bar, Pub & Brewery | Dist: 1.3 mi
Korea House | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 0.8 mi
Krispy Kreme | Neighborhood: Westside & Downtown | Cuisine: Dessert & Bakery | Dist: 6.2 mi
Kukai | Neighborhood: Urban Core | Cuisine: Asian & Sushi | Dist: 3.7 mi
Kung Fu Noodle | Neighborhood: Central & Midtown | Cuisine: Asian & Sushi | Dist: 2.3 mi
L&L Hawaiian Barbecue | Neighborhood: Northside & Foothills | Cuisine: Steakhouse & BBQ | Dist: 4 mi
La Carreta | Neighborhood: Northwest & Marana | Cuisine: Mexican & Sonoran | Dist: 8 mi
La Casita Cafe | Neighborhood: Eastside & Vail | Cuisine: Coffee & Cafe | Dist: 30.5 mi
La Chaiteria | Neighborhood: Westside & Downtown | Cuisine: Healthy, Vegan & Plant-Based | Dist: 4.5 mi
La Chingada Cocina | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5.7 mi
La Cocina | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 3 mi
La Estrella Bakery | Neighborhood: Urban Core | Cuisine: Mexican & Sonoran | Dist: 5.7 mi
La Frida Mexican | Neighborhood: Eastside & Vail | Cuisine: Mexican & Sonoran | Dist: 4.2 mi
